pays,code_pays,année,produit,code_produit,dispo_int,dispo_kcal,dispo_kg,pertes,autres_utilisations
Arménie,1,2013,Miel,2745,2000.0,6.0,0.7,,
Arménie,1,2013,Poissons Eau Douce,2761,10000.0,6.0,3.28,,0.0
Arménie,1,2013,Perciform,2762,0.0,0.0,0.07,,0.0
Arménie,1,2013,Poissons Pelagiques,2763,11000.0,2.0,0.83,,0.0
Arménie,1,2013,"Poissons Marins, Autres",2764,1000.0,0.0,0.18,,0.0
Arménie,1,2013,Crustacés,2765,0.0,0.0,0.02,,0.0
Arménie,1,2013,Cephalopodes,2766,0.0,0.0,0.0,,0.0
Arménie,1,2013,"Mollusques, Autres",2767,0.0,0.0,0.0,,0.0
Arménie,1,2013,Animaux Aquatiques Autre,2769,0.0,0.0,0.0,,0.0
Arménie,1,2013,Plantes Aquatiques,2775,0.0,0.0,0.0,,0.0
Arménie,1,2013,Huiles de Poissons,2781,0.0,0.0,0.0,,0.0
Arménie,1,2013,Huiles de Foie de Poisso,2782,0.0,0.0,0.0,,0.0
Arménie,1,2013,Riz (Eq Blanchi),2805,10000.0,34.0,3.18,,
Arménie,1,2013,Lait - Excl Beurre,2848,671000.0,351.0,209.03,,
Arménie,1,2013,Miscellanees,2899,,3.0,,,
Afghanistan,2,2013,Blé,2511,5992000.0,1369.0,160.23,775000.0,
Afghanistan,2,2013,Orge,2513,524000.0,26.0,2.92,52000.0,
Afghanistan,2,2013,Maïs,2514,313000.0,21.0,2.5,31000.0,
Afghanistan,2,2013,Millet,2517,13000.0,3.0,0.4,1000.0,
Afghanistan,2,2013,"Céréales, Autres",2520,0.0,0.0,0.0,,
Afghanistan,2,2013,Pommes de Terre,2531,262000.0,15.0,7.53,9000.0,
Afghanistan,2,2013,"Sucre, canne",2536,90000.0,,,,
Afghanistan,2,2013,"Sucre, betterave",2537,15000.0,,,,
Afghanistan,2,2013,Sucre Eq Brut,2542,255000.0,84.0,8.35,,
Afghanistan,2,2013,Edulcorants Autres,2543,16000.0,2.0,0.53,,
Afghanistan,2,2013,Légumineuses Autres,2549,86000.0,23.0,2.44,3000.0,
Afghanistan,2,2013,Noix,2551,44000.0,12.0,1.45,,
Afghanistan,2,2013,Graines de tournesol,2557,3000.0,,,,
Afghanistan,2,2013,Graines de coton,2559,27000.0,,,,
Afghanistan,2,2013,Coco (Incl Coprah),2560,0.0,0.0,0.0,,
Afghanistan,2,2013,Sésame,2561,21000.0,9.0,0.52,1000.0,
Afghanistan,2,2013,Olives,2563,7000.0,0.0,0.06,0.0,
Afghanistan,2,2013,"Plantes Oleiferes, Autre",2570,3000.0,,,0.0,
Afghanistan,2,2013,Huile de Soja,2571,16000.0,13.0,0.53,,
Afghanistan,2,2013,Huile d'Arachide,2572,0.0,0.0,0.0,,
Afghanistan,2,2013,Huile de Tournesol,2573,23000.0,18.0,0.75,,
Afghanistan,2,2013,Huile de Colza&Moutarde,2574,2000.0,2.0,0.07,,
Afghanistan,2,2013,Huile Graines de Coton,2575,5000.0,3.0,0.12,,1000.0
Afghanistan,2,2013,Huile de Palme,2577,119000.0,51.0,2.09,,55000.0
Afghanistan,2,2013,Huile de Sésame,2579,1000.0,1.0,0.05,,
Afghanistan,2,2013,Huile d'Olive,2580,1000.0,0.0,0.02,,
Afghanistan,2,2013,Huil Plantes Oleif Autr,2586,361000.0,2.0,0.08,,359000.0
Afghanistan,2,2013,Tomates,2601,0.0,0.0,0.0,,
Afghanistan,2,2013,"Légumes, Autres",2605,1007000.0,17.0,28.97,122000.0,
Afghanistan,2,2013,"Oranges, Mandarines",2611,145000.0,4.0,4.75,0.0,
Afghanistan,2,2013,"Agrumes, Autres",2614,41000.0,1.0,1.29,2000.0,
Afghanistan,2,2013,Bananes,2615,82000.0,4.0,2.7,,
Afghanistan,2,2013,Pommes,2617,72000.0,3.0,2.22,4000.0,
Afghanistan,2,2013,Ananas,2618,0.0,0.0,0.0,,
Afghanistan,2,2013,Dattes,2619,1000.0,0.0,0.02,,
Afghanistan,2,2013,Raisin,2620,513000.0,29.0,15.8,31000.0,
Afghanistan,2,2013,"Fruits, Autres",2625,240000.0,9.0,7.29,17000.0,
Afghanistan,2,2013,Café,2630,0.0,0.0,0.0,,
Afghanistan,2,2013,Feve de Cacao,2633,1000.0,0.0,0.02,,
Afghanistan,2,2013,Thé,2635,107000.0,4.0,3.49,,
Afghanistan,2,2013,Poivre,2640,0.0,0.0,0.0,,
Afghanistan,2,2013,"Épices, Autres",2645,8000.0,2.0,0.26,,
Afghanistan,2,2013,Vin,2655,0.0,0.0,0.0,,
Afghanistan,2,2013,Bière,2656,3000.0,0.0,0.09,,
Afghanistan,2,2013,Boissons Alcooliques,2658,0.0,0.0,0.0,,
Afghanistan,2,2013,Aliments pour enfants,2680,2000.0,1.0,0.06,,
Afghanistan,2,2013,Viande de Bovins,2731,140000.0,27.0,4.59,,
Afghanistan,2,2013,Viande d'Ovins/Caprins,2732,150000.0,31.0,4.92,,
Afghanistan,2,2013,Viande de Volailles,2734,75000.0,9.0,2.45,,
Afghanistan,2,2013,"Viande, Autre",2735,12000.0,1.0,0.38,,
Afghanistan,2,2013,Abats Comestible,2736,53000.0,5.0,1.72,,
Afghanistan,2,2013,Graisses Animales Crue,2737,15000.0,12.0,0.49,,
Afghanistan,2,2013,"Beurre, Ghee",2740,36000.0,23.0,1.17,,
Afghanistan,2,2013,Crème,2743,18000.0,3.0,0.6,,
Afghanistan,2,2013,Oeufs,2744,47000.0,5.0,1.3,5000.0,
Afghanistan,2,2013,Miel,2745,2000.0,1.0,0.07,,
Afghanistan,2,2013,Poissons Eau Douce,2761,2000.0,0.0,0.07,,0.0
Afghanistan,2,2013,Riz (Eq Blanchi),2805,461000.0,141.0,13.82,24000.0,
Afghanistan,2,2013,Lait - Excl Beurre,2848,2083000.0,100.0,62.23,58000.0,
Afghanistan,2,2013,Miscellanees,2899,,1.0,,,
Albanie,3,2013,Blé,2511,650000.0,1056.0,138.64,44000.0,130000.0
Albanie,3,2013,Orge,2513,19000.0,1.0,0.16,1000.0,1000.0
Albanie,3,2013,Maïs,2514,420000.0,13.0,1.79,44000.0,3000.0
Albanie,3,2013,Seigle,2515,3000.0,5.0,0.69,1000.0,
Albanie,3,2013,Avoine,2516,28000.0,1.0,0.13,1000.0,
Albanie,3,2013,Millet,2517,0.0,,,,
Albanie,3,2013,Sorgho,2518,0.0,,,0.0,
Albanie,3,2013,"Céréales, Autres",2520,0.0,0.0,0.08,,
Albanie,3,2013,Pommes de Terre,2531,262000.0,77.0,41.26,23000.0,5000.0
Albanie,3,2013,Manioc,2532,0.0,0.0,0.0,,0.0
Albanie,3,2013,Patates douces,2533,1000.0,1.0,0.34,,
Albanie,3,2013,Racines nda,2534,0.0,0.0,0.0,,
Albanie,3,2013,"Sucre, betterave",2537,40000.0,,,,
Albanie,3,2013,Sucre Eq Brut,2542,69000.0,173.0,17.5,,13000.0
Albanie,3,2013,Edulcorants Autres,2543,93000.0,16.0,29.19,,0.0
Albanie,3,2013,Haricots,2546,28000.0,46.0,5.04,8000.0,
Albanie,3,2013,Pois,2547,0.0,0.0,0.0,,
Albanie,3,2013,Légumineuses Autres,2549,3000.0,3.0,0.34,0.0,
Albanie,3,2013,Noix,2551,14000.0,27.0,4.21,0.0,
Albanie,3,2013,Soja,2555,0.0,0.0,0.0,0.0,
Albanie,3,2013,Arachides Decortiquees,2556,1000.0,2.0,0.15,,
Albanie,3,2013,Graines de tournesol,2557,2000.0,,,0.0,
Albanie,3,2013,Graines Colza/Moutarde,2558,0.0,0.0,0.0,,
Albanie,3,2013,Graines de coton,2559,1000.0,,,0.0,
Albanie,3,2013,Coco (Incl Coprah),2560,0.0,0.0,0.01,,
Albanie,3,2013,Sésame,2561,0.0,,,,0.0
Albanie,3,2013,Palmistes,2562,0.0,,,,0.0
Albanie,3,2013,Olives,2563,82000.0,69.0,23.0,2000.0,
Albanie,3,2013,"Plantes Oleiferes, Autre",2570,0.0,,,,0.0
Albanie,3,2013,Huile de Soja,2571,0.0,3.0,0.12,,
Albanie,3,2013,Huile d'Arachide,2572,0.0,0.0,0.01,,
Albanie,3,2013,Huile de Tournesol,2573,29000.0,121.0,4.99,,13000.0
Albanie,3,2013,Huile de Colza&Moutarde,2574,0.0,1.0,0.03,,
Albanie,3,2013,Huile Graines de Coton,2575,0.0,,,,0.0
Albanie,3,2013,Huile de Palmistes,2576,0.0,,,,0.0
Albanie,3,2013,Huile de Palme,2577,2000.0,0.0,0.0,,2000.0
Albanie,3,2013,Huile de Coco,2578,0.0,,,,0.0
Albanie,3,2013,Huile de Sésame,2579,0.0,,,,0.0
Albanie,3,2013,Huile d'Olive,2580,2000.0,14.0,0.57,,0.0
Albanie,3,2013,Huile de Germe de Maïs,2582,1000.0,7.0,0.27,,
Albanie,3,2013,Huil Plantes Oleif Autr,2586,4000.0,26.0,1.12,,1000.0
Albanie,3,2013,Tomates,2601,207000.0,28.0,58.36,22000.0,
Albanie,3,2013,Oignons,2602,94000.0,25.0,29.69,,
Albanie,3,2013,"Légumes, Autres",2605,591000.0,98.0,157.05,22000.0,
Albanie,3,2013,"Oranges, Mandarines",2611,41000.0,11.0,12.59,1000.0,
Albanie,3,2013,Citrons & Limes,2612,5000.0,1.0,1.55,,
Albanie,3,2013,Pamplemousse,2613,0.0,0.0,0.12,,
Albanie,3,2013,"Agrumes, Autres",2614,1000.0,0.0,0.24,,
Albanie,3,2013,Bananes,2615,20000.0,10.0,6.24,,
Albanie,3,2013,Bananes plantains,2616,1000.0,0.0,0.17,,
Albanie,3,2013,Pommes,2617,82000.0,33.0,24.6,4000.0,
Albanie,3,2013,Ananas,2618,0.0,0.0,0.05,,
Albanie,3,2013,Dattes,2619,12000.0,16.0,3.8,,
Albanie,3,2013,Raisin,2620,209000.0,86.0,48.16,2000.0,
Albanie,3,2013,"Fruits, Autres",2625,148000.0,63.0,44.48,7000.0,
Albanie,3,2013,Café,2630,8000.0,3.0,2.48,,
Albanie,3,2013,Feve de Cacao,2633,2000.0,13.0,0.72,,
Albanie,3,2013,Thé,2635,0.0,0.0,0.08,,
Albanie,3,2013,Poivre,2640,0.0,0.0,0.0,,
Albanie,3,2013,Piments,2641,0.0,0.0,0.01,,
Albanie,3,2013,"Épices, Autres",2645,0.0,0.0,0.04,,
Albanie,3,2013,Vin,2655,25000.0,15.0,7.97,,
Albanie,3,2013,Bière,2656,86000.0,36.0,26.98,,
Albanie,3,2013,Boissons Fermentés,2657,0.0,0.0,0.0,,
Albanie,3,2013,Boissons Alcooliques,2658,8000.0,21.0,2.65,,
Albanie,3,2013,"Alcool, non Comestible",2659,4000.0,,,,4000.0
Albanie,3,2013,Aliments pour enfants,2680,0.0,1.0,0.09,,
Albanie,3,2013,Viande de Bovins,2731,71000.0,101.0,22.5,,
Albanie,3,2013,Viande d'Ovins/Caprins,2732,49000.0,85.0,15.32,,
Albanie,3,2013,Viande de Suides,2733,35000.0,83.0,10.88,,
Albanie,3,2013,Viande de Volailles,2734,42000.0,67.0,13.23,,
Albanie,3,2013,"Viande, Autre",2735,0.0,0.0,0.04,,
Albanie,3,2013,Abats Comestible,2736,11000.0,11.0,3.5,,
Albanie,3,2013,Graisses Animales Crue,2737,5000.0,28.0,1.32,,0.0
Albanie,3,2013,"Beurre, Ghee",2740,4000.0,23.0,1.19,,
Albanie,3,2013,Crème,2743,0.0,0.0,0.03,,
Albanie,3,2013,Oeufs,2744,47000.0,46.0,12.45,7000.0,
Albanie,3,2013,Miel,2745,3000.0,8.0,0.95,,
Albanie,3,2013,Poissons Eau Douce,2761,2000.0,1.0,0.76,,0.0
Albanie,3,2013,Perciform,2762,3000.0,1.0,0.98,,0.0
Albanie,3,2013,Poissons Pelagiques,2763,5000.0,4.0,1.44,,0.0
Albanie,3,2013,"Poissons Marins, Autres",2764,2000.0,1.0,0.67,,0.0
Albanie,3,2013,Crustacés,2765,1000.0,0.0,0.32,,0.0
Albanie,3,2013,Cephalopodes,2766,1000.0,1.0,0.37,,0.0
Albanie,3,2013,"Mollusques, Autres",2767,1000.0,0.0,0.33,,0.0
Albanie,3,2013,Animaux Aquatiques Autre,2769,0.0,0.0,0.0,,0.0
Albanie,3,2013,Plantes Aquatiques,2775,0.0,0.0,0.0,,0.0
Albanie,3,2013,Huiles de Poissons,2781,0.0,0.0,0.0,,0.0
Albanie,3,2013,Huiles de Foie de Poisso,2782,0.0,0.0,0.0,,0.0
Albanie,3,2013,Riz (Eq Blanchi),2805,25000.0,68.0,7.78,0.0,0.0
Albanie,3,2013,Lait - Excl Beurre,2848,1153000.0,533.0,303.72,87000.0,2000.0
Albanie,3,2013,Miscellanees,2899,,5.0,,,
Algérie,4,2013,Blé,2511,9461000.0,1424.0,185.42,672000.0,820000.0
Algérie,4,2013,Orge,2513,2052000.0,94.0,13.18,121000.0,
Algérie,4,2013,Maïs,2514,3252000.0,129.0,15.99,225000.0,
Algérie,4,2013,Seigle,2515,0.0,0.0,0.0,0.0,
